title;artist;top genre;year;bpm;energy;danceability ;dB;liveness;valence;duration;acousticness;speechiness ;popularity;country
Don't;Bryson Tiller;kentucky hip hop;2015;97;36;77;-6;10;19;198;22;20;84;US
EARFQUAKE;Tyler The Creator;hip hop;2019;80;50;55;-9;80;41;190;23;7;84;US,""
Easy On Me;Adele;british soul;2021;142;37;60;-8;13;13;225;58;3;84;GB
Empire State Of Mind;JAY-Z;east coast hip hop;2009;174;96;49;-2;46;81;277;3;39;84;US
"Give Me Everything (feat. Ne-Yo,Afrojack & Nayer);Pitbull;dance pop;2011;129;94;67;-3;30;53;252;19;16;84;US",""
Godzilla (feat. Juice WRLD);Eminem;detroit hip hop;2020;166;75;81;-5;29;83;211;14;34;84;US
22;Taylor Swift;pop;2012;104;73;66;-7;5;67;232;0;4;72;US
Happier;Marshmello;brostep;2018;100;79;69;-3;17;67;214;19;5;84;US
"Hey,Soul Sister;Train;dance pop;2010;97;89;67;-4;8;80;217;19;4;84;US",""
HIGHEST IN THE ROOM;Travis Scott;hip hop;2019;76;43;60;-9;21;6;176;5;3;84;US
I WANNA BE YOUR SLAVE;Måneskin;indie rock italiano;2021;133;61;75;-4;18;96;173;0;4;84;IT
In Da Club;50 Cent;east coast hip hop;2003;90;71;90;-3;7;78;193;26;37;84;US
In Ha Mood;Ice Spice;bronx drill;2023;141;74;77;-7;23;53;129;70;34;84;US
Infinity;Jaymes Young;indie poptimism;2017;122;67;67;-7;30;49;238;15;4;84;CA
Jocelyn Flores;XXXTENTACION;emo rap;2017;134;39;87;-9;30;44;119;47;24;84;US
Leave Before You Love Me (with Jonas Brothers);Marshmello;brostep;2021;120;74;72;-5;12;64;155;0;4;84;US
Levitating;Dua Lipa;dance pop;2020;103;88;70;-2;21;91;204;6;8;84;GB
Love The Way You Lie;Eminem;detroit hip hop;2010;87;93;75;-5;52;64;263;24;23;84;US
Maria Maria (feat. The Product G&B);Santana;blues rock;1999;98;60;78;-6;3;68;262;4;13;84;US
Moonlight;XXXTENTACION;emo rap;2018;128;54;92;-6;10;71;135;56;8;84;US
Needed Me;Rihanna;barbadian pop;2016;111;31;67;-8;8;30;192;11;24;84;US
Only Girl (In The World);Rihanna;barbadian pop;2010;126;71;79;-4;6;64;235;11;4;84;US
Party;Bad Bunny;reggaeton;2022;97;80;83;-5;24;47;228;2;9;84;PR
