title,artist,top genre,year,bpm,energy,danceability ,dB,liveness,valence,duration,acousticness,speechiness ,popularity,country
Dirrty (feat. Redman),Christina Aguilera,dance pop,2002.0,100.0,89.0,64.0,-3.0,34.0,44.0,299.0,11.0,32.0,70.0,US
Landslide,The Chicks,contemporary country,2002.0,146.0,44.0,57.0,-7.0,19.0,44.0,231.0,53.0,3.0,70.0,US
Drift Away,Uncle Kracker,country,2002.0,152.0,66.0,58.0,-5.0,10.0,86.0,256.0,18.0,4.0,69.0,US
Fighter,Christina Aguilera,dance pop,2002.0,189.0,92.0,44.0,-1.0,55.0,45.0,246.0,24.0,20.0,69.0,US
Move Your Feet,Junior Senior,danish pop,2002.0,119.0,90.0,75.0,-3.0,20.0,85.0,182.0,5.0,8.0,69.0,DK
Unwell,Matchbox Twenty,neo mellow,2002.0,81.0,79.0,26.0,-5.0,71.0,43.0,229.0,3.0,4.0,69.0,US
The Ketchup Song (Aserejé) - Spanglish Version,Las Ketchup,pop,2002.0,185.0,92.0,61.0,-7.0,9.0,87.0,214.0,2.0,9.0,68.0,ES
Heaven,DJ Sammy,eurodance,2002.0,138.0,95.0,57.0,-6.0,23.0,60.0,234.0,0.0,5.0,67.0,ES
Still Fly,Big Tymers,crunk,2002.0,178.0,61.0,68.0,-4.0,34.0,56.0,336.0,3.0,16.0,66.0,US
The Tide Is High - Radio Mix,Atomic Kitten,candy pop,2002.0,104.0,65.0,78.0,-4.0,7.0,67.0,206.0,2.0,3.0,66.0,GB
The Game of Love (feat. Michelle Branch) - Main / Radio Mix,Santana,blues rock,2002.0,120.0,93.0,59.0,-3.0,6.0,67.0,254.0,7.0,5.0,65.0,US
The Seed (2.0),The Roots,conscious hip hop,2002.0,111.0,96.0,76.0,-2.0,13.0,97.0,268.0,4.0,4.0,65.0,US
This Love,Maroon 5,pop,2002.0,95.0,86.0,71.0,-5.0,9.0,81.0,206.0,5.0,4.0,65.0,US
Air Force Ones,Nelly,dance pop,2002.0,164.0,46.0,78.0,-10.0,8.0,62.0,304.0,8.0,32.0,64.0,US
Happy,Ashanti,dance pop,2002.0,89.0,52.0,73.0,-7.0,12.0,70.0,262.0,24.0,3.0,64.0,US
How You Gonna Act Like That,Tyrese,contemporary r&b,2002.0,113.0,52.0,73.0,-4.0,7.0,53.0,295.0,11.0,5.0,64.0,UNKNOWN
If You're Not The One,Daniel Bedingfield,europop,2002.0,120.0,54.0,69.0,-8.0,11.0,27.0,257.0,57.0,3.0,64.0,GB
Numb,Linkin Park,alternative metal,2003.0,110.0,86.0,50.0,-4.0,64.0,24.0,186.0,0.0,4.0,87.0,US
Seven Nation Army,The White Stripes,alternative rock,2003.0,124.0,45.0,74.0,-8.0,34.0,28.0,232.0,0.0,7.0,86.0,US
Bring Me To Life,Evanescence,alternative metal,2003.0,95.0,94.0,33.0,-3.0,24.0,30.0,236.0,1.0,7.0,84.0,US
In Da Club,50 Cent,east coast hip hop,2003.0,90.0,71.0,90.0,-3.0,7.0,78.0,193.0,26.0,37.0,84.0,US
Toxic,Britney Spears,dance pop,2003.0,143.0,84.0,77.0,-4.0,24.0,92.0,199.0,2.0,11.0,84.0,US
Hey Ya!,Outkast,atl hip hop,2003.0,80.0,97.0,73.0,-2.0,17.0,97.0,235.0,10.0,7.0,83.0,US
The Reason,Hoobastank,alternative metal,2003.0,83.0,67.0,47.0,-5.0,16.0,7.0,233.0,1.0,3.0,83.0,US
If I Ain't Got You,Alicia Keys,neo soul,2003.0,118.0,44.0,61.0,-9.0,10.0,17.0,229.0,60.0,11.0,82.0,US
Where Is The Love?,Black Eyed Peas,dance pop,2003.0,94.0,70.0,83.0,-3.0,13.0,81.0,273.0,11.0,18.0,82.0,US
Crazy In Love (feat. Jay-Z),Beyoncé,pop,2003.0,99.0,77.0,65.0,-7.0,7.0,68.0,236.0,0.0,23.0,80.0,US
Faint,Linkin Park,alternative metal,2003.0,135.0,98.0,55.0,-4.0,7.0,59.0,163.0,11.0,13.0,80.0,US
